用户名称,评分,评论时间,有用数,常居地,加入豆瓣时间,评论,用户url,页数
????,50,"
2018-02-18
",4200,, 2016-05-08," 热评有个什么拍不完的援非撤侨那位，你美国爸爸整天意淫的个人英雄主义我看你也看的乐此不疲。
        ",https://www.douban.com/people/145539990/,0
 serendipper,40,"
2018-02-24
",9,"El Djaza?r, Algeria", 2009-08-12," 想给里面的小哥哥和小姐姐生孩子。嗯哼爸爸好帅！连上瘾小哥都变帅了。
        ",https://www.douban.com/people/5580630/,280
 鬼见春,20,"
2018-02-20
",2,浙江杭州, 2013-01-29," 视觉轰炸，爆炸到最后已经疲惫，但是不能停下来，因为文戏太尬
        ",https://www.douban.com/people/68575163/,460
""" Agnes。",50,"
2018-02-22
",15,浙江杭州, 2010-03-16," 燃到不行
然后我把我手机丢了。。。
也算是终身难忘的电影了
        ",https://www.douban.com/people/pimiw/,340
(︶▽︶)╭∩╮,20,"
2018-03-02
",0,湖北武汉, 2008-12-06," 开篇在直升机上拿狙打了半天，还不如人家几挺机枪嘟嘟嘟来的有效。坦克到手不去第一时间毁其他坦克，反而墨迹半天最后整到平地上玩追击拼技术。无人机马后炮一样是去负责送便当的吗。
        ",https://www.douban.com/people/3308169/,360
*ST-MachineGUN,50,"
2018-02-21
",6,上海, 2008-07-06," 当年庆幸没有给战狼二贡献票房，这次这部电影看起来不错，一张电影票就能看到黑鹰坠落，拆弹专家，兵临城下，石破惊天，拯救大兵瑞恩，狂怒，坦克大战等几部大片的合集。最后有潜艇的片花不知道是不是有续集？
        ",https://www.douban.com/people/MachineGun/,340
.,10,"
2018-02-24
",0,, 2006-02-17," 8.5不合理，7.8-8合理，给一星拉低
        ",https://www.douban.com/people/danielpaolod/,460
。,30,"
2018-02-20
",2,新疆吐鲁番, 2007-08-28," 看这个还不如吃盘鸡呢
        ",https://www.douban.com/people/songqueen/,440
。。。,40,"
2018-02-19
",6,北京, 2005-10-18," 狙击手和他的观察员好萌。。。以及不分级是真的不行。。
        ",https://www.douban.com/people/mrlljx/,340
[已注销],30,"
2018-02-28
",7,江苏苏州, 2012-06-22," 对不起，绝地求生中毒玩家，满脑子都是这个车我开过，这个房子很难搜呀，哎呀倒了一个去舔包啦
        ",https://www.douban.com/people/mmetaphor/,120
__深绘里,20,"
2018-03-04
",2,湖北武汉, 2015-08-15," ???
        ",https://www.douban.com/people/133024954/,240
﹎捨.、棄﹖,50,"
2018-02-16
",60,浙江温州, 2012-01-21," 战争场面真实血腥，人体组织残肢随处可见，真实程度国产院线中无出其右，大年初一看略感不适。坦克大战出彩，翼装飞行刺激，男女主惺惺相惜无关爱情，战友情含蓄内敛令人动容，不乱喊口号不强行升华，老戏骨中生代小鲜肉集体飙戏演技炸裂，138分钟无尿点与雷区，全程沉浸在眼腺与肾上腺素交替。
        ",https://www.douban.com/people/57952760/,320
﹏.Ｃaso°,30,"
2018-03-05
",0,, 2009-04-18," 2018和bibi在耀莱看的 一般吧 没有想象的好看
        ",https://www.douban.com/people/caso330/,260
《火花》,20,"
2018-02-16
",574,江苏苏州, 2011-02-08," 我就问问你们为何打起来？这不就比战狼2好50步嘛
                
                
        ",https://www.douban.com/people/168897916/,0
?Yui?,30,"
2018-02-17
",5,上海, 2011-03-27," 有感动的点，但太直男，就不停地各种打打打，然后血肉横飞，个人觉得不太适合大年初一看。
        ",https://www.douban.com/people/50416947/,160
0,50,"
2018-02-16
",54,云南昆明, 2011-12-30," 春节档最佳影片诞生，年度最佳有力竞争者
        ",https://www.douban.com/people/W-0/,320
0.7 cm,10,"
2018-02-21
",0,"Uppsala, Sweden", 2010-11-25," 这他妈也配叫电影
                
                
        ",https://www.douban.com/people/47647354/,360
0esther0,10,"
2018-02-23
",0,上海, 2010-12-21," 这部片的蹿红，看看观众性别比例，就知道男性多容易被煽动，而失去判断力，无理智跟风。
        ",https://www.douban.com/people/48263322/,300
1269925944,20,"
2018-02-18
",0,四川德阳, 2011-12-18," 剧情无聊到爆 简直是战狼续集 还有几个慢动作镜头是什么鬼 这部电影完全不需要演技 绝大部分场景都是枪战 除了这个毫无看点 简直是垃圾
        ",https://www.douban.com/people/teenwolf/,460
127,50,"
2018-02-16
",91,上海, 2008-08-27," 国家力量！团队协作！个人能力！一级棒！
        ",https://www.douban.com/people/2857340/,240
16,50,"
2018-02-18
",11,浙江宁波, 2013-01-20," 热血，略带血腥。看电影的时候真的希望所有的角色都可以开挂无敌飞檐走壁百分百闪避子弹，就算因此落入俗套也是没关系的。还有只要政治正确场面血腥一点也是可以过审的。
        ",https://www.douban.com/people/LemonLemonTree/,420
1943。,30,"
2018-02-22
",0,上海, 2008-04-27," 上次在电影院这么被虐，我记得是……毒战……跪了、二位大导！
        ",https://www.douban.com/people/yijiusisan/,200
1Q89,30,"
2018-02-23
",1,云南昆明, 2016-07-19," 从头打到尾，估计导演也不敢停下来吧，看得我头皮发麻   这种类型的电影我是再没心情看了
        ",https://www.douban.com/people/148536204/,480
?????拜晶女?????,10,"
2018-02-27
",1,湖南长沙, 2006-01-21," 分分钟跳戏，剧本好单薄，对白质量扛不起剧情和画面效果
        ",https://www.douban.com/people/Kinki/,60
207,40,"
2018-02-18
",4,北京, 2006-01-04," 攻击场面还是华语No.1的。Duang了两个小时，打的太累了…… 国家在哪？不够大丈夫。打完了其实也没有太明白为啥打后边的。
        ",https://www.douban.com/people/loz/,280
28只小蜜蜂,50,"
2018-02-22
",23,辽宁沈阳, 2016-12-02," 看得热血沸腾，不过好多画面真的挺血腥的，这才是我们这些岁月静好的人没见过的背后的真相吧？某个瞬间会觉得为了救一个人牺牲那么多值不值得，可再回头想想，那个时候救的应该不只是一个人，而且一个国家对民众的不离不弃，祖国的尊严吧，如果每个人都只是为了利益最大化，那又谈什么国家谈什么团结
        ",https://www.douban.com/people/154539136/,260
404NotFound,20,"
2018-02-18
",0,Christmas Islands, 2012-11-19," 炮轰两小时，简直头晕……背景音乐能不能消停一下……
        ",https://www.douban.com/people/wucai663/,200
5167,50,"
2018-02-19
",20,山西太原, 2015-04-11," 比战狼2好看太多了，没有过多的个人英雄主义的渲染，反而是真实的血与肉，生命之间的抗衡
        ",https://www.douban.com/people/125148766/,240
57,30,"
2018-02-19
",6,北京, 2007-04-01," 从电影的角度，是一部没有故事和情感支撑的军事片，就个人而言，还不如90年代许多技术落后的同类片感人（也试图煽来着但失败了）。不过斗争从来都是残酷的，历史上的现代主义从来都以无坚不摧为荣，人一有机会肯定站在强者那边，本来就没有故事和情感可言。
        ",https://www.douban.com/people/also57/,60
75号理想国,30,"
2018-02-23
",1,广东广州, 2009-03-02," 3.5星。一爽到底，有国际范。不过中国主旋律电影就像新闻联播，抛开虚假夸张不合逻辑的部分，永远只有高大上光伟正，没有真正的失败和眼泪。说个不恰当的比喻，连撒泡尿都要一副气势昂然、傲然屹立的样子。
        ",https://www.douban.com/people/3734231/,320
aaric,40,"
2018-02-17
",472,福建厦门, 2011-07-21," 几乎全程哒哒哒哒哒听不到熊孩子们的声音真是太好啦~?
        ",https://www.douban.com/people/aaric/,20
Ada Wang,50,"
2018-02-19
",39,广东深圳, 2014-12-19," 强调三遍，我很少给国产军事动作题材打五星！我很少给国产军事动作题材打五星！我很少给国产军事动作题材打五星！我想会两个多小时全程捏着汗看完，不仅仅是因为肾上腺素狂飙的战争戏，还因为担心那些可爱又可敬的角色随时会死去，这种感受，第一次在国产电影中体会到。
        ",https://www.douban.com/people/adakenndy/,80
Ada的B计划,20,"
2018-02-16
",0,湖南长沙, 2015-11-10," 还不错～
        ",https://www.douban.com/people/137426958/,360
Aggie_F,50,"
2018-02-20
",13,贵州黔西南, 2011-01-17," 与湄公河行动同一导演，比湄公河场面更残暴。血腥场面特别真实，小朋友勿看。完爆之前口碑高的战狼二，比起看吴京一个人耍帅与病态的各种炒作，这部电影均衡的人设，全程的交战才是真正的了不起。感谢中国军人！
        ",https://www.douban.com/people/june67/,280
Akihoshino,20,"
2018-03-04
",1,北京, 2010-08-13," 我就不喜欢这种题材的电影 和战狼一样 很难形容感觉很奇怪
        ",https://www.douban.com/people/44720442/,160
Alexander.,20,"
2018-02-17
",0,北京, 2007-11-04," 尬
        ",https://www.douban.com/people/1974706/,240
Ali,30,"
2018-02-18
",3,上海, 2012-05-11," 大型吃鸡现场，空投补寄、16倍镜（片子一开头就是高潮，然后持续高潮了2小时，看得太累了...）然后片子真的不考虑分级嘛？
        ",https://www.douban.com/people/61263474/,140
Alias,20,"
2018-02-22
",1,北京, 2009-10-29," 生理性厌恶
        ",https://www.douban.com/people/19619577/,380
allyl,30,"
2018-02-24
",0,浙江杭州, 2010-01-17," 从叙事和拍摄上来说还挺好的，
        ",https://www.douban.com/people/skywayfly/,440
Alucard,10,"
2018-02-16
",3,"Berlin, Germany", 2016-02-06," 其实这片应叫《战狼二:杀戮加长版》
        ",https://www.douban.com/people/141594583/,320
Amandachun,50,"
2018-02-19
",28,, 2008-08-06," 在看的过程中总起鸡皮疙瘩，真的巨激动看的。很兴奋，每一个细节都牵连肾上腺素。作为海军后人真的想说生在和平年代的中国就是最大的幸福了。中国有很多不好的地方但是也有很好的地方。20180219 与董伟 在长春长影
        ",https://www.douban.com/people/amandachun-gccz/,260
